Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.55     0.00     2391     0.00     0.00  x86_isa_inc_ir32_impl
  0.00      0.55     0.00     2198     0.00     0.00  x86_isa_mov_r8_rm8_impl
  0.00      0.55     0.00     2167     0.00     0.00  x86_isa_repnz_scasb_impl
  0.00      0.55     0.00     2145     0.00     0.00  x86_isa_ja_rel8_impl
  0.00      0.55     0.00     2142     0.00     0.00  hash_table_insert
  0.00      0.55     0.00     2058     0.00     0.00  dir_entry_set_sharer
  0.00      0.55     0.00     2052     0.00     0.00  x86_isa_test_al_imm8_impl
  0.00      0.55     0.00     2048     0.00     0.00  si_isa_V_MUL_LO_I32_impl
  0.00      0.55     0.00     1841     0.00     0.00  x86_isa_mov_rm8_imm8_impl
  0.00      0.55     0.00     1813     0.00     0.00  x86_isa_ja_rel32_impl
  0.00      0.55     0.00     1753     0.00     0.00  x86_isa_add_rm32_imm32_impl
  0.00      0.55     0.00     1705     0.00     0.00  x86_isa_jle_rel8_impl
  0.00      0.55     0.00     1655     0.00     0.00  config_read_string
  0.00      0.55     0.00     1628     0.00     0.00  list_free
  0.00      0.55     0.00     1626     0.00     0.00  x86_isa_test_rm8_imm8_impl
  0.00      0.55     0.00     1588     0.00     0.00  x86_isa_cmp_al_imm8_impl
  0.00      0.55     0.00     1547     0.00     0.00  x86_isa_jbe_rel32_impl
  0.00      0.55     0.00     1499     0.00     0.00  list_create
  0.00      0.55     0.00     1485     0.00     0.00  x86_isa_or_rm32_imm8_impl
  0.00      0.55     0.00     1277     0.00     0.00  x86_isa_sar_rm32_imm8_impl
  0.00      0.55     0.00     1266     0.00     0.00  x86_isa_cmp_rm8_r8_impl
  0.00      0.55     0.00     1261     0.00     0.00  X86ContextClearFlag
  0.00      0.55     0.00     1261     0.00     0.00  x86_isa_cld_impl
  0.00      0.55     0.00     1218     0.00     0.00  x86_isa_cmp_eax_imm32_impl
  0.00      0.55     0.00     1216     0.00     0.00  x86_isa_jg_rel8_impl
  0.00      0.55     0.00     1214     0.00     0.00  x86_isa_nop_impl
  0.00      0.55     0.00     1184     0.00     0.00  si_uop_list_free
  0.00      0.55     0.00     1180     0.00     0.00  si_isa_write_sreg
  0.00      0.55     0.00     1135     0.00     0.00  x86_isa_jae_rel32_impl
  0.00      0.55     0.00     1123     0.00     0.00  x86_isa_mov_moffs32_eax_impl
  0.00      0.55     0.00     1110     0.00     0.00  x86_isa_cmp_rm8_imm8_impl
  0.00      0.55     0.00     1032     0.00     0.00  x86_isa_and_rm32_imm32_impl
  0.00      0.55     0.00     1024     0.00     0.00  mod_handler_nmoesi_invalidate
  0.00      0.55     0.00     1024     0.00     0.00  si_isa_TBUFFER_STORE_FORMAT_XYZW_impl
  0.00      0.55     0.00      954     0.00     0.00  x86_isa_idiv_rm32_impl
  0.00      0.55     0.00      940     0.00     0.00  x86_isa_dec_ir32_impl
  0.00      0.55     0.00      893     0.00     0.00  x86_isa_call_rm32_impl
  0.00      0.55     0.00      852     0.00     0.00  x86_isa_or_rm32_r32_impl
  0.00      0.55     0.00      809     0.00     0.00  x86_isa_div_rm32_impl
  0.00      0.55     0.00      768     0.00     0.00  si_isa_V_OR_B32_impl
  0.00      0.55     0.00      724     0.00     0.00  config_read_int
  0.00      0.55     0.00      711     0.00     0.00  x86_isa_js_rel8_impl
  0.00      0.55     0.00      685     0.00     0.00  x86_isa_sub_rm32_imm32_impl
  0.00      0.55     0.00      631     0.00     0.00  X86ContextLoadRm16
  0.00      0.55     0.00      627     0.00     0.00  x86_isa_movsb_impl
  0.00      0.55     0.00      600     0.00     0.00  x86_isa_cmovb_r32_rm32_impl
  0.00      0.55     0.00      582     0.00     0.00  x86_isa_sub_r32_rm32_impl
  0.00      0.55     0.00      550     0.00     0.00  x86_isa_jmp_rm32_impl
  0.00      0.55     0.00      549     0.00     0.00  x86_isa_cmp_r8_rm8_impl
  0.00      0.55     0.00      547     0.00     0.00  x86_isa_test_rm32_imm32_impl
  0.00      0.55     0.00      538     0.00     0.00  x86_isa_jns_rel8_impl
  0.00      0.55     0.00      512     0.00     0.00  dir_entry_clear_sharer
  0.00      0.55     0.00      512     0.00     0.00  dir_entry_is_sharer
  0.00      0.55     0.00      512     0.00     0.00  si_isa_V_MUL_I32_I24_impl
  0.00      0.55     0.00      504     0.00     0.00  x86_isa_rep_stosb_impl
  0.00      0.55     0.00      503     0.00     0.00  x86_isa_imul_r32_rm32_imm32_impl
  0.00      0.55     0.00      488     0.00     0.00  x86_isa_cmp_r16_rm16_impl
  0.00      0.55     0.00      465     0.00     0.00  x86_isa_neg_rm32_impl
  0.00      0.55     0.00      449     0.00     0.00  config_write_string
  0.00      0.55     0.00      439     0.00     0.00  x86_isa_or_rm32_imm32_impl
  0.00      0.55     0.00      426     0.00     0.00  x86_isa_setne_rm8_impl
  0.00      0.55     0.00      424     0.00     0.00  str_to_int
  0.00      0.55     0.00      412     0.00     0.00  linked_list_create
  0.00      0.55     0.00      412     0.00     0.00  linked_list_free
  0.00      0.55     0.00      405     0.00     0.00  class_dump
  0.00      0.55     0.00      396     0.00     0.00  si_isa_S_WAITCNT_impl
  0.00      0.55     0.00      378     0.00     0.00  x86_isa_xadd_rm32_r32_impl
  0.00      0.55     0.00      373     0.00     0.00  hash_table_set
  0.00      0.55     0.00      363     0.00     0.00  x86_isa_cmove_r32_rm32_impl
  0.00      0.55     0.00      337     0.00     0.00  x86_isa_and_rm32_r32_impl
  0.00      0.55     0.00      311     0.00     0.00  x86_isa_sar_rm32_1_impl
  0.00      0.55     0.00      310     0.00     0.00  x86_isa_xor_r32_rm32_impl
  0.00      0.55     0.00      304     0.00     0.00  config_read_ptr
  0.00      0.55     0.00      302     0.00     0.00  x86_isa_not_rm32_impl
  0.00      0.55     0.00      297     0.00     0.00  x86_isa_sete_rm8_impl
  0.00      0.55     0.00      296     0.00     0.00  list_set
  0.00      0.55     0.00      296     0.00     0.00  x86_isa_jecxz_rel8_impl
  0.00      0.55     0.00      287     0.00     0.00  x86_isa_shl_rm32_cl_impl
  0.00      0.55     0.00      282     0.00     0.00  config_section_next
  0.00      0.55     0.00      263     0.00     0.00  config_var_enforce
  0.00      0.55     0.00      260     0.00     0.00  si_work_item_create
  0.00      0.55     0.00      260     0.00     0.00  si_work_item_free
  0.00      0.55     0.00      254     0.00     0.00  x86_isa_jb_rel8_impl
  0.00      0.55     0.00      253     0.00     0.00  x86_isa_movsx_r32_rm8_impl
  0.00      0.55     0.00      248     0.00     0.00  config_section_exists
  0.00      0.55     0.00      240     0.00     0.00  mem_config_check_route_to_main_memory
  0.00      0.55     0.00      232     0.00     0.00  net_buffer_create
  0.00      0.55     0.00      232     0.00     0.00  net_buffer_free
  0.00      0.55     0.00      217     0.00     0.00  x86_isa_rep_movsb_impl
  0.00      0.55     0.00      207     0.00     0.00  x86_isa_and_eax_imm32_impl
  0.00      0.55     0.00      202     0.00     0.00  x86_isa_cmovne_r32_rm32_impl
  0.00      0.55     0.00      178     0.00     0.00  x86_isa_repz_cmpsb_impl
  0.00      0.55     0.00      176     0.00     0.00  str_printf.constprop.0
  0.00      0.55     0.00      170     0.00     0.00  x86_isa_cmpsb_run
  0.00      0.55     0.00      164     0.00     0.00  str_free
  0.00      0.55     0.00      162     0.00     0.00  x86_isa_jle_rel32_impl
  0.00      0.55     0.00      155     0.00     0.00  x86_isa_jl_rel8_impl
  0.00      0.55     0.00      152     0.00     0.00  X86ContextSyscall
  0.00      0.55     0.00      152     0.00     0.00  x86_isa_int_imm8_impl
  0.00      0.55     0.00      147     0.00     0.00  X86ContextStoreRm16
  0.00      0.55     0.00      145     0.00     0.00  x86_isa_jb_rel32_impl
  0.00      0.55     0.00      137     0.00     0.00  log_base2
  0.00      0.55     0.00      134     0.00     0.00  x86_isa_cmovns_r32_rm32_impl
  0.00      0.55     0.00      132     0.00     0.00  list_create_with_size
  0.00      0.55     0.00      132     0.00     0.00  si_isa_S_LSHL_B32_impl
  0.00      0.55     0.00      128     0.00     0.00  config_var_exists
  0.00      0.55     0.00      128     0.00     0.00  si_isa_S_ASHR_I32_impl
  0.00      0.55     0.00      128     0.00     0.00  si_wavefront_pool_create
  0.00      0.55     0.00      128     0.00     0.00  si_wavefront_pool_free
  0.00      0.55     0.00      126     0.00     0.00  x86_isa_repz_ret_impl
  0.00      0.55     0.00      125     0.00     0.00  x86_isa_mul_rm32_impl
  0.00      0.55     0.00      124     0.00     0.00  x86_isa_movsw_impl
  0.00      0.55     0.00      120     0.00     0.00  x86_isa_jp_rel8_impl
  0.00      0.55     0.00      120     0.00     0.00  x86_isa_setb_rm8_impl
  0.00      0.55     0.00      116     0.00     0.00  net_link_create
  0.00      0.55     0.00      116     0.00     0.00  net_link_free
  0.00      0.55     0.00      116     0.00     0.00  net_node_add_input_buffer
  0.00      0.55     0.00      116     0.00     0.00  net_node_add_output_buffer
  0.00      0.55     0.00      112     0.00     0.00  str_printf
  0.00      0.55     0.00      112     0.00     0.00  x86_isa_movzx_r32_rm16_impl
  0.00      0.55     0.00      107     0.00     0.00  x86_isa_seta_rm8_impl
  0.00      0.55     0.00      107     0.00     0.00  x86_isa_sub_rm8_r8_impl
  0.00      0.55     0.00      104     0.00     0.00  str_token
  0.00      0.55     0.00      102     0.00     0.00  x86_isa_sbb_rm32_imm8_impl
  0.00      0.55     0.00      101     0.00     0.00  x86_isa_adc_rm32_imm8_impl
  0.00      0.55     0.00       98     0.00     0.00  mem_config_insert_module_in_network
  0.00      0.55     0.00       96     0.00     0.00  config_var_allow
  0.00      0.55     0.00       94     0.00     0.00  x86_isa_mov_rm16_r16_impl
  0.00      0.55     0.00       92     0.00     0.00  x86_isa_jge_rel32_impl
  0.00      0.55     0.00       92     0.00     0.00  x86_isa_sbb_rm32_r32_impl
  0.00      0.55     0.00       91     0.00     0.00  x86_isa_jg_rel32_impl
  0.00      0.55     0.00       87     0.00     0.00  repos_create
  0.00      0.55     0.00       87     0.00     0.00  repos_free
  0.00      0.55     0.00       84     0.00     0.00  esim_register_event_with_name
  0.00      0.55     0.00       84     0.00     0.00  mod_create
  0.00      0.55     0.00       84     0.00     0.00  mod_free
  0.00      0.55     0.00       83     0.00     0.00  x86_isa_xor_rm32_imm8_impl
  0.00      0.55     0.00       80     0.00     0.00  x86_isa_cmovs_r32_rm32_impl
  0.00      0.55     0.00       79     0.00     0.00  x86_isa_jl_rel32_impl
  0.00      0.55     0.00       78     0.00     0.00  X86ContextExtendedToDouble
  0.00      0.55     0.00       78     0.00     0.00  X86ContextStoreDouble
  0.00      0.55     0.00       77     0.00     0.00  config_write_int
  0.00      0.55     0.00       76     0.00     0.00  si_isa_S_LSHR_B32_impl
  0.00      0.55     0.00       76     0.00     0.00  str_token_list_first
  0.00      0.55     0.00       70     0.00     0.00  x86_isa_fstp_m64_impl
  0.00      0.55     0.00       69     0.00     0.00  str_set
  0.00      0.55     0.00       65     0.00     0.00  linked_list_goto
  0.00      0.55     0.00       65     0.00     0.04  mem_config_create_switches
  0.00      0.55     0.00       65     0.00     0.00  mem_write_string
  0.00      0.55     0.00       65     0.00     0.00  net_get_node_by_name
  0.00      0.55     0.00       65     0.00     0.00  net_node_create
  0.00      0.55     0.00       65     0.00     0.00  net_node_free
